iter	Passed	Remaining
400	19126	28570
401	19177	28527
402	19228	28485
403	19281	28445
404	19332	28401
405	19381	28356
406	19434	28316
407	19481	28267
408	19528	28218
409	19582	28179
410	19635	28139
411	19690	28102
412	19759	28084
413	19820	28055
414	19869	28008
415	19921	27966
416	19973	27925
417	20024	27880
418	20074	27836
419	20124	27791
420	20178	27751
421	20230	27708
422	20282	27666
423	20339	27630
424	20394	27592
425	20446	27549
426	20496	27504
427	20545	27457
428	20593	27409
429	20642	27363
430	20691	27316
431	20742	27273
432	20790	27223
433	20837	27175
434	20882	27122
435	20929	27073
436	20973	27020
437	21021	26972
438	21069	26924
439	21117	26876
440	21160	26823
441	21207	26773
442	21255	26725
443	21307	26682
444	21355	26634
445	21402	26585
446	21451	26538
447	21500	26491
448	21548	26443
449	21599	26399
450	21648	26352
451	21695	26303
452	21743	26255
453	21792	26208
454	21839	26159
455	21887	26111
456	21936	26064
457	21983	26015
458	22031	25967
459	22080	25920
460	22128	25872
461	22175	25823
462	22223	25775
463	22272	25728
464	22319	25679
465	22367	25631
466	22419	25587
467	22466	25539
468	22517	25494
469	22568	25449
470	22617	25402
471	22665	25354
472	22713	25306
473	22762	25259
474	22808	25209
475	22857	25162
476	22906	25115
477	22953	25066
478	22997	25014
479	23046	24966
480	23093	24918
481	23141	24869
482	23188	24820
483	23235	24771
484	23282	24722
485	23330	24674
486	23375	24623
487	23424	24576
488	23472	24528
489	23517	24477
490	23564	24428
491	23612	24380
492	23659	24331
493	23707	24283
494	23755	24234
495	23802	24185
496	23851	24139
497	23900	24092
498	23946	24042
499	23993	23993
500	24035	23939
501	24082	23890
502	24130	23842
503	24177	23793
504	24226	23746
505	24274	23698
506	24321	23649
507	24368	23601
508	24415	23552
509	24465	23506
510	24514	23459
511	24563	23411
512	24613	23365
513	24661	23317
514	24708	23269
515	24755	23219
516	24802	23171
517	24845	23118
518	24892	23069
519	24939	23020
520	24988	22974
521	25038	22927
522	25085	22879
523	25134	22832
524	25183	22784
525	25230	22736
526	25277	22687
527	25324	22638
528	25372	22590
529	25423	22545
530	25471	22497
531	25516	22446
532	25564	22399
533	25614	22352
534	25661	22303
535	25709	22256
536	25757	22208
537	25806	22161
538	25851	22110
539	25896	22060
540	25942	22010
541	25988	21960
542	26035	21911
543	26080	21861
544	26126	21811
545	26171	21761
546	26218	21712
547	26266	21664
548	26313	21616
549	26361	21568
550	26410	21521
551	26457	21473
552	26504	21423
553	26550	21374
554	26597	21326
555	26648	21280
556	26696	21232
557	26744	21184
558	26793	21137
559	26846	21093
560	26893	21044
561	26940	20996
562	26988	20948
563	27034	20898
564	27079	20848
565	27127	20800
566	27175	20753
567	27221	20703
568	27268	20655
569	27316	20606
570	27361	20557
571	27410	20509
572	27457	20460
573	27502	20411
574	27550	20363
575	27597	20314
576	27648	20269
577	27696	20220
578	27744	20173
579	27791	20125
580	27839	20077
581	27887	20028
582	27937	19982
583	27985	19934
584	28033	19887
585	28086	19842
586	28136	19796
587	28185	19748
588	28232	19700
589	28279	19651
590	28331	19606
591	28378	19558
592	28427	19510
593	28473	19462
594	28520	19413
595	28567	19364
596	28616	19317
597	28664	19269
598	28713	19221
599	28760	19173
600	28807	19125
601	28855	19076
602	28901	19028
603	28948	18979
604	28998	18932
605	29052	18889
606	29101	18841
607	29149	18793
608	29197	18746
609	29244	18697
610	29290	18648
611	29339	18600
612	29388	18553
613	29436	18505
614	29483	18457
615	29531	18409
616	29578	18360
617	29625	18312
618	29673	18264
619	29722	18217
620	29777	18173
621	29824	18124
622	29872	18076
623	29919	18028
624	29966	17980
625	30014	17932
626	30062	17884
627	30110	17836
628	30158	17788
629	30205	17739
630	30254	17692
631	30301	17643
632	30348	17595
633	30398	17548
634	30447	17501
635	30493	17452
636	30540	17403
637	30588	17355
638	30634	17306
639	30683	17259
640	30731	17211
641	30779	17163
642	30826	17114
643	30874	17067
644	30921	17019
645	30969	16970
646	31016	16922
647	31058	16871
648	31107	16823
649	31154	16775
650	31200	16726
651	31247	16678
652	31295	16630
653	31341	16581
654	31392	16535
655	31438	16486
656	31486	16438
657	31531	16388
658	31578	16340
659	31626	16292
660	31675	16245
661	31722	16196
662	31770	16148
663	31818	16100
664	31867	16053
665	31915	16005
666	31963	15957
667	32010	15909
668	32059	15861
669	32111	15816
670	32159	15768
671	32206	15719
672	32251	15670
673	32298	15622
674	32349	15575
675	32409	15533
676	32463	15488
677	32511	15440
678	32561	15393
679	32609	15345
680	32657	15297
681	32706	15250
682	32753	15201
683	32800	15153
684	32846	15104
685	32900	15059
686	32948	15011
687	32996	14963
688	33044	14915
689	33092	14867
690	33136	14817
691	33183	14769
692	33231	14721
693	33279	14673
694	33325	14625
695	33373	14577
696	33421	14528
697	33471	14481
698	33520	14434
699	33566	14385
700	33614	14337
701	33658	14288
702	33711	14242
703	33755	14192
704	33798	14142
705	33845	14094
706	33893	14046
707	33941	13998
708	33989	13950
709	34036	13902
710	34083	13854
711	34132	13806
712	34180	13758
713	34225	13709
714	34269	13660
715	34315	13611
716	34362	13562
717	34410	13515
718	34454	13465
719	34502	13417
720	34552	13370
721	34600	13322
722	34647	13274
723	34693	13225
724	34741	13177
725	34788	13129
726	34834	13080
727	34882	13032
728	34929	12984
729	34977	12936
730	35026	12889
731	35074	12841
732	35122	12793
733	35169	12745
734	35217	12697
735	35265	12649
736	35313	12601
737	35362	12554
738	35411	12506
739	35460	12458
740	35508	12411
741	35558	12364
742	35608	12316
743	35656	12268
