iter	Logloss
0	0.6811163397
1	0.6622389106
2	0.6452278979
3	0.635841178
4	0.6217525738
5	0.6094495554
6	0.5977083844
7	0.5874100466
8	0.5788545629
9	0.5690630381
10	0.5616465315
11	0.5545958471
12	0.5483839151
13	0.5433360744
14	0.5370837704
15	0.532609538
16	0.5282944867
17	0.5247040018
18	0.5211047541
19	0.5174054251
20	0.5142759822
21	0.5112912993
22	0.508385105
23	0.5055214477
24	0.5030358294
25	0.5011580972
26	0.4990969975
27	0.4983168607
28	0.4969738744
29	0.4952818134
30	0.4933974879
31	0.4920386464
32	0.4905173118
33	0.4892293604
34	0.4876350536
35	0.4861927114
36	0.4846797249
37	0.4832876032
38	0.4822056534
39	0.4810757461
40	0.4797953851
41	0.4787593809
42	0.4777923032
43	0.4768491529
44	0.4758201407
45	0.47493246
46	0.4743440209
47	0.4736511574
48	0.4728912006
49	0.4720408216
50	0.4714436742
51	0.4707621275
52	0.4700512178
53	0.4692367575
54	0.4682654056
55	0.4675334751
56	0.4675081461
57	0.4665962372
58	0.4661190162
59	0.4653946939
60	0.4647787047
61	0.4639814324
62	0.4634976923
63	0.4626102048
64	0.4620260314
65	0.4613914927
66	0.4608932137
67	0.4602811692
68	0.459716213
69	0.4593073828
70	0.4590070228
71	0.4586255696
72	0.4580568435
73	0.4576576438
74	0.4571596325
75	0.4567846662
76	0.4562905723
77	0.4557302214
78	0.4554042636
79	0.4549737353
80	0.454409717
81	0.4543676907
82	0.4540282992
83	0.4534618734
84	0.4530515576
85	0.452622283
86	0.4523767077
87	0.4520279813
88	0.451629795
89	0.4512894471
90	0.4507418851
91	0.450111226
92	0.4496605932
93	0.4493054705
94	0.4490604298
95	0.4485806123
96	0.4482038709
97	0.4479036825
98	0.4479036644
99	0.447785593
100	0.44777163
101	0.4474375243
102	0.4470614814
103	0.4468163531
104	0.446696892
105	0.4466749989
106	0.4465713411
107	0.4465655971
108	0.4459962487
109	0.445765377
110	0.4451329513
111	0.4445511477
112	0.444543077
113	0.4445352517
114	0.4444952005
115	0.4444843848
116	0.4444843504
117	0.4444354375
118	0.4444013715
119	0.4436466172
120	0.4430284497
121	0.4427308709
122	0.4427308697
123	0.4427048569
124	0.4422484549
125	0.4421748364
126	0.4418235325
127	0.4414871548
128	0.4414400181
129	0.4414399555
130	0.4412112297
131	0.4407107424
132	0.4404596507
133	0.4404549311
134	0.4403552549
135	0.4398095045
136	0.4395000174
137	0.439338963
138	0.4388056428
139	0.438491741
140	0.4379355694
141	0.4375424323
142	0.4375052045
143	0.4372258091
144	0.4368693241
145	0.4368693087
146	0.4364201388
147	0.4364201326
148	0.4358161564
149	0.4358085482
150	0.4352776851
151	0.4349243273
152	0.4349243161
153	0.4344628325
154	0.4343350308
155	0.4337816008
156	0.4331293017
157	0.4331252163
158	0.4328390898
159	0.432475314
160	0.4320401015
161	0.4317894524
162	0.4314678323
163	0.4314317027
164	0.4311297963
165	0.4307454731
166	0.4301292327
167	0.4301258256
168	0.4297003644
169	0.4296913017
170	0.4288618769
171	0.4283314256
172	0.4282032275
173	0.4276469582
174	0.4271068234
175	0.4269269161
176	0.4263078317
177	0.4262868606
178	0.4258907203
179	0.4255730016
180	0.4250000678
181	0.4244083561
182	0.4238028085
183	0.4235184358
184	0.4230004761
185	0.4226074857
186	0.4222213451
187	0.421683144
188	0.4213258713
189	0.4208749555
190	0.4204629226
191	0.4198396673
192	0.419586281
193	0.419363215
194	0.4192457309
195	0.4187684233
196	0.4187386985
197	0.4181378884
198	0.4176835718
199	0.4171868788
200	0.4167232765
201	0.4163333426
202	0.4161393031
203	0.4157221115
204	0.4153457743
205	0.4150651654
206	0.4146920051
207	0.4143545244
208	0.4140456092
209	0.4137467364
210	0.4133399465
211	0.4129416329
212	0.4123778808
213	0.4121412268
214	0.4117850089
215	0.4114335895
216	0.410983494
217	0.4104267581
218	0.4100993381
219	0.4096466967
220	0.4089504803
221	0.4087229949
222	0.4083598017
223	0.4079191804
224	0.4075377201
225	0.4072139173
226	0.4068969815
227	0.406521909
228	0.4062634694
229	0.4058640851
230	0.4053645351
231	0.4049762498
232	0.4046222709
233	0.4042512779
234	0.4037015886
235	0.4033598217
236	0.4029923137
237	0.4026852193
238	0.4022997545
239	0.4018683711
240	0.4016077292
241	0.4011028163
242	0.4008252077
243	0.4004472574
244	0.400033263
245	0.3995363045
246	0.3992099243
247	0.398869452
248	0.3984341298
249	0.3981379593
250	0.3978048511
251	0.3975045919
252	0.3972885396
253	0.3967973864
254	0.396426428
255	0.3959240966
256	0.3956164615
257	0.3953156927
258	0.3950404637
259	0.3946223737
260	0.3944132256
261	0.3940649581
262	0.3937328239
263	0.3933081667
264	0.393040763
265	0.3925838106
266	0.3920200392
267	0.3917429394
268	0.3913885144
269	0.3909457155
270	0.3906123122
271	0.3903426777
272	0.3899672522
273	0.3896601853
274	0.3892756498
275	0.3890209536
276	0.3887026989
277	0.3883053072
278	0.3878750987
279	0.387579702
280	0.3872054387
281	0.3869891575
282	0.3868038742
283	0.3865388341
284	0.3863811381
285	0.3860333421
286	0.3856380105
287	0.3853683602
288	0.3850925938
289	0.3846701886
290	0.3843350118
291	0.3840520312
292	0.3838345992
293	0.3835072743
294	0.3832503781
295	0.3830863133
296	0.3826218785
297	0.3823905771
298	0.3820724372
299	0.3817562466
300	0.3814228811
301	0.3811902894
302	0.3809936555
303	0.3807754004
304	0.3803696629
305	0.379885533
306	0.3794081383
307	0.3789172353
308	0.3787066439
309	0.3782315057
310	0.3778866639
311	0.3776188651
312	0.3772591491
313	0.3768386084
314	0.3766789498
315	0.3764250315
316	0.3760326427
317	0.3758336582
318	0.3754123498
319	0.3751580023
320	0.3746120701
321	0.3744022353
322	0.3741159333
323	0.3737072946
324	0.3735238445
325	0.3733107187
326	0.3729106144
327	0.3726816641
328	0.3723996578
329	0.3721470231
330	0.3718850148
331	0.3717108593
332	0.3713346466
333	0.3711802442
334	0.3707333477
335	0.3704975017
336	0.3702184266
337	0.3699192124
